Experiences Offered;Review Scores Communication;Review Scores Location;Review Scores Value;Review Scores Rating;Review Scores Accuracy;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Host Neighbourhood;Host Total Listings Count;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews
none;0.0;0.0;0.0;0.0;0.0;None;flexible;8.0;0.0;Embajadores;8.0;40.42432198812112;-3.712781506388165;Apartment;Entire home/apt;1.0;3.0;4.0;Real Bed;394.07081545064375;90.0;298.0;54.0;6;5;5;0
none;10.0;10.0;9.0;95.0;10.0;None;strict;8.0;3.34;La Latina;12.0;40.4110804804039;-3.706575769502485;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;394.07081545064375;69.0;90.0;20.0;2;15;1;33
none;10.0;10.0;10.0;87.0;9.0;None;flexible;3.0;0.47;Acacias;3.0;40.40038272211884;-3.7068383501356834;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;16.0;0.0;10.0;1;0;2;3
none;10.0;10.0;9.0;87.0;9.0;None;strict;4.0;1.56;Malasaña;5.0;40.427322912525895;-3.7089024817847855;Apartment;Entire home/apt;1.0;1.0;3.0;Real Bed;394.07081545064375;45.0;100.0;30.0;2;12;4;68
none;0.0;0.0;0.0;0.0;0.0;None;moderate;2.0;0.0;Arapiles;2.0;40.43643429649904;-3.7087028674123466;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;44.0;0.0;0.0;1;0;1;0
none;0.0;0.0;0.0;0.0;0.0;None;flexible;1.0;0.0;No data;1.0;40.48246830970346;-3.707460562712552;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;50.0;0.0;0.0;1;0;1;0
none;0.0;0.0;0.0;0.0;0.0;None;strict;38.0;0.0;Malasaña;38.0;40.4279634242964;-3.707444660717192;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;30.0;200.0;30.0;1;0;7;0
none;9.0;10.0;9.0;87.0;10.0;None;moderate;5.0;1.63;Embajadores;6.0;40.40667874306739;-3.7014018258094654;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;394.07081545064375;47.0;0.0;15.0;2;8;2;11
none;10.0;10.0;9.0;87.0;9.0;None;strict;2.0;1.15;No data;2.0;40.424662487449716;-3.7031058262499625;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;20.0;0.0;0.0;1;0;1;7
none;10.0;10.0;9.0;80.0;7.0;None;flexible;1.0;0.17;No data;1.0;40.40236787706489;-3.7033265381602978;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;20.0;0.0;0.0;1;0;1;3
none;10.0;10.0;10.0;95.0;9.0;None;moderate;3.0;5.09;Palacio;3.0;40.4193509035268;-3.711623473406378;House;Private room;1.0;1.0;1.0;Real Bed;280.0;39.0;0.0;15.0;1;0;2;159
none;0.0;0.0;0.0;0.0;0.0;None;strict;67.0;0.0;L'Antiga Esquerra de l'Eixample;207.0;40.40877673798058;-3.7107262622120016;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;90.0;0.0;20.0;1;0;2;0
none;10.0;10.0;9.0;100.0;10.0;None;strict;28.0;0.12;Malasaña;28.0;40.42641029723731;-3.673277812578589;Apartment;Entire home/apt;2.0;2.0;3.0;Real Bed;394.07081545064375;158.0;0.0;160.0;2;20;7;3
